,Count,Nouns
1305,5,reference
1230,5,portch
558,5,eve
1427,5,setup
974,5,management
843,5,jamis
437,5,cyclist
1318,5,repair
1319,5,replacement
1213,5,pliers
1321,5,request
356,5,compartment
348,5,column
1635,5,thursday
1185,5,pick
1410,5,seatpost
1491,5,soul
35,5,airport
1298,5,record
1012,5,message
44,5,alot
602,5,finder
603,5,finish
407,5,crankset
47,5,anchor
1272,5,quality
1379,5,salmon
613,5,flat
403,5,coworker
617,5,flower
625,5,football
587,5,female
1662,5,townhouse
581,5,farmer
1672,5,trainer
576,5,factory
646,5,fron
575,5,fact
341,5,colleague
1182,5,photograph
87,5,badge
1130,5,page
1025,5,milk
1342,5,riser
1148,5,partner
1614,5,terrace
460,5,dent
1613,5,terminal
1567,5,sun
507,5,downtube
812,5,indoors
464,5,depot
19,5,ad
1607,5,teen
1605,5,team
829,5,interstate
186,5,breaking
1108,5,op
216,5,bungee
834,5,ish
217,5,burger
1100,5,occupant
965,5,madison
1420,5,sensor
1707,5,ty
1747,5,village
1024,5,mile
990,5,mat
1520,5,stadium
532,5,edge
93,5,band
752,5,height
1688,5,trike
759,5,hinge
16,5,account
15,5,accomplice
322,5,clinic
319,5,clean
1622,5,theife
599,5,file
1417,5,seller
1526,5,stall
1204,5,planet
1008,4,memory
183,4,bread
185,4,breakfast
1035,4,missing
1423,4,server
173,4,bound
1179,4,pet
84,4,backseat
1510,4,sport
67,4,ass
1234,4,position
1507,4,splash
1238,4,pouch
1382,4,sandwich
1248,4,price
1256,4,profile
51,4,apex
1273,4,quarter
1496,4,southwest
38,4,albertson
1301,4,recycling
1303,4,redline
1304,4,reel
1310,4,rei
1317,4,rental
1484,4,snow
1333,4,retail
8,4,7th
1827,4,youth
1359,4,rooftop
1829,4,zip
1367,4,row
89,4,bagel
1177,4,perps
1787,4,william
1807,4,worth
1053,4,motorhome
1056,4,mountainbike
1473,4,skewer
1074,4,neg
1791,4,wing
1082,4,news
156,4,board
1544,4,storm
155,4,bmx
152,4,blog
142,4,birthday
1102,4,odometer
1104,4,offer
140,4,bile
1107,4,oh
135,4,biker
1123,4,overpass
120,4,bedroom
1533,4,stay
111,4,bay
1139,4,paper
107,4,basketball
1385,4,satisfaction
1806,4,worn
999,4,mean
1173,4,performance
1770,4,weather
1830,4,zone
579,4,fall
395,4,country
396,4,county
291,4,change
408,4,crash
830,4,intruder
598,4,figure
1721,4,upside
1757,4,walk
280,4,centre
1637,4,tie
583,4,father
276,4,cellar
1686,4,triathlon
572,4,fabric
1673,4,tram
1588,4,tact
1676,4,transport
436,4,cycling
887,4,labor
900,4,latch
1579,4,suspicion
1,4,100
1463,4,signal
245,4,campground
1612,4,tent
1753,4,visitor
796,4,hurry
633,4,fountain
349,4,com
362,4,compound
700,4,grey
1639,4,tillamook
