,Count,Nouns_Adjectives_TRIGRAM
1577,3,cable cut bolt
1643,3,cable scene lock
322,3,area security camera
3026,3,later bike cable
1511,3,building laundry area
2274,3,floor parking garage
1509,3,building graham street
4693,3,san francisco ferry
4692,3,san francisco bike
5450,3,vertical bike rack
2262,3,floor apartment complex
1647,3,cable tire lock
4723,3,school parking lot
5465,3,village lovejoy fountain
5611,3,yakima hitch rack
4707,3,savier streetportland oregon
67,3,28th burnside reward
66,3,28th burnside chopstick
1574,3,cable clean cut
59,3,24th hawthorne reward
1617,3,cable lock post
4259,3,rack cleveland high
2997,3,kryptonite evolution series
3796,3,outside hour fitness
2655,3,hall cramer hall
2996,3,kryptonite evolution mini
1636,3,cable locking bike
4028,3,plaza bike rack
313,3,area building graham
1520,3,building nw 13th
4759,3,secure bicycle storage
1639,3,cable place bike
4705,3,saturday night bike
1516,3,building locked door
5463,3,view security camera
5482,3,warehouse driveway nw
4670,3,room secure apartment
2780,3,home reward bike
2794,3,home storage unit
2171,3,edge hotel sw
1966,3,correct number 150084736
1967,3,corss street broadway
108,3,academic building reward
92,3,60th holgate reward
2167,3,east west college
4331,3,rack outside la
5505,3,wheel attached bike
4462,3,rd st vancouver
2164,3,east street reward
1982,3,craft beer market
1985,3,cramer hall reward
4457,3,railing kryptonite lock
2704,3,heavy duty kryptonite
2024,3,cut lock ground
4453,3,railing apartment reward
5597,3,work rack reward
1996,3,cross street reward
5507,3,wheel bike frame
2774,3,home porch middle
2003,3,cumberland ave elm
4441,3,rack wheel fork
5594,3,work parking garage
2158,3,early morning bike
2157,3,early morning august
4335,3,rack outside nw
2766,3,home new construction
2765,3,home locked reward
3944,3,parking signpost adjacent
1958,3,corner sw 1st
2173,3,education corner sw
91,3,5th st reward
1955,3,corner st interstate
1912,3,condo building bike
4501,3,red water bottle
4319,3,rack nw corner
2185,3,employee parking lot
4320,3,rack old town
2182,3,employee bike cage
1920,3,condo reward tbd
2181,3,emerson sumner reward
2809,3,hospital bike rack
5601,3,workplace garage reward
4491,3,recycling 35th holgate
1927,3,construction hour bike
1929,3,controlled access garage
2178,3,elm street reward
1932,3,convention center east
5531,3,wheel locked rack
1934,3,convention center mlk
2803,3,hoodie time small
4485,3,rear window inside
1940,3,cornelius pass roadhouse
1942,3,corner ash reward
1943,3,corner bike rack
1944,3,corner cumberland ave
1945,3,corner houghton ave
4482,3,rear wheel seat
5503,3,wharf building reward
1949,3,corner nw 13th
1950,3,corner nw couch
3922,3,parking lot interstate
4431,3,rack unitarian church
3945,3,parking space reward
4503,3,reed college bike
3967,3,pearl deschute brewery
2083,3,division street reward
4387,3,rack reward substantial
2736,3,holladay street reward
2712,3,helmet lock scene
2143,3,drop handlebar black
4347,3,rack parking structure
2139,3,driveway nw 14th
2099,3,door locked bike
2100,3,door locked storage
103,3,able garage bike
4349,3,rack pm bike
4371,3,rack reward eternal
2137,3,driveway bike rack
2108,3,door open minute
207,3,apartment building stairwell
4428,3,rack ulock reward
4350,3,rack porch house
2112,3,door open reward
4366,3,rack reward college
4364,3,rack reward buck
2117,3,door thief bike
4362,3,rack reward beer
4360,3,rack rest bike
3970,3,pearl district flander
2125,3,downtown pdx sw
2126,3,downtown portland corss
5526,3,wheel lock bike
3971,3,pearl district nw
105,3,abus bordo lock
4356,3,rack rear wheel
4388,3,rack reward sure
2081,3,division 25th reel
2710,3,helmet cable lock
197,3,apartment building outside
5592,3,work nw 14th
223,3,apartment complex lincoln
101,3,abernethy elementary school
2758,3,home deck reward
4336,3,rack outside office
2037,3,cycle sticker frame
5515,3,wheel frame bicycle
4420,3,rack thieve cable
3948,3,parking spot reward
2753,3,home break reward
4416,3,rack sw corner
2044,3,daughter black specialized
4415,3,rack sw 10th
4413,3,rack stretch 14th
220,3,apartment complex key
2751,3,home bike reward
2054,3,dead end street
3978,3,performance bike shop
3951,3,parking structure reward
2745,3,home backyard reward
2062,3,deschute brewery reward
2063,3,description bike road
4403,3,rack security camera
2065,3,development aloha reward
2743,3,home 25th avenue
2742,3,hollywood transit center
3953,3,parkrose transit center
5519,3,wheel frame lock
2073,3,disc brake rear
4502,3,red white blue
4504,3,reed college campus
4668,3,room morgan building
3853,3,park long beach
4624,3,river edge hotel
2912,3,information recovery bike
5534,3,wheel post cable
4284,3,rack gated parking
3841,3,park amp ride
1747,3,carport home reward
2907,3,individual storage locker
3843,3,park apt bike
2230,3,fenced gated backyard
2674,3,handlebar white seat
2225,3,fence outside apartment
1758,3,cent store reward
1762,3,center east entrance
1764,3,center hollywood meyer
1766,3,center main entrance
4594,3,reward money reward
2222,3,fence home reward
1768,3,center mall reward
2893,3,hoyt street verde
4602,3,reward right thing
2221,3,fence cable lock
1773,3,center reward case
4000,3,picture actual bike
1777,3,central ave reward
2219,3,fence apartment building
1779,3,central community college
2889,3,house yard reward
1782,3,cesar chavez blvd
1783,3,cesar chavez lincoln
2888,3,house visible street
2235,3,fenced yard house
2914,3,inner mlk monroe
4626,3,riverdale high school
5535,3,wheel quick release
181,3,apartment building bicycle
2946,3,irvington school brazee
4664,3,room individual storage
4662,3,room ground floor
3821,3,outside work reward
2943,3,iron fence reward
5473,3,wall bike lock
282,3,apartment sw estuary
4656,3,roof rack wheel
281,3,apartment sw 10th
2938,3,interstate ave garage
279,3,apartment storage room
1705,3,car cable lock
3825,3,overnight bike lock
1708,3,car drive way
4279,3,rack ferry building
1712,3,car home reward
2243,3,ferry building reward
2931,3,institue portland pearl
2242,3,ferry building cable
2927,3,inside office building
4005,3,piece lock ground
4634,3,road bike rack
2920,3,inside gate apartment
75,3,30th wednesday april
2918,3,inside garage door
2917,3,inside building reward
4630,3,road bike grey
2237,3,fender black rack
1785,3,chain bike rack
4591,3,reward information recovery
2817,3,hotel sw macadam
3898,3,parking garage nw
4539,3,restaurant nw 14th
5605,3,world trade center
250,3,apartment gated garage
1862,3,college cascade campus
1863,3,college parking lot
1864,3,colonel summer park
1865,3,color normal giant
2686,3,hawthorne blvd 25th
2194,3,entrance bike rack
3889,3,parking garage condo
2193,3,entrance bike parking
4529,3,residential garage 30pm
4315,3,rack muni bus
3897,3,parking garage maine
4521,3,residence reward tbd
2885,3,house reward neg
1885,3,community center reward
1886,3,community college cascade
2833,3,hour fitness pearl
4519,3,residence location 15th
3899,3,parking garage office
3901,3,parking garage parking
3902,3,parking garage rack
2828,3,hour cable lock
2827,3,hour bike trace
85,3,45th hawthorne reward
1899,3,complex lincoln park
2820,3,hour bike description
2819,3,houghton ave reward
3907,3,parking garage thief
4540,3,restaurant pm bike
2685,3,hawthorne bike rack
5606,3,worth alot reward
2853,3,house bike suspect
2677,3,happy finder help
2881,3,house reward cash
2214,3,fairview rv park
4583,3,reward happy finder
4297,3,rack laundry room
2877,3,house night morning
2874,3,house locked gate
4576,3,reward gift card
4777,3,secured bike room
2870,3,house inner mlk
3868,3,parked bike parking
2205,3,escape titanium greenway
3872,3,parking area bike
4565,3,reward contact owner
1824,3,city view apartment
2862,3,house evening hour
1829,3,clark college reward
262,3,apartment parking reward
4559,3,reward cash question
5488,3,waterfront river edge
5490,3,wednesday april luarel
4554,3,reward bike money
190,3,apartment building flight
4552,3,reward bike conviction
1841,3,clinton st reward
1847,3,cocina restaurant bike
1848,3,cocina server bike
3880,3,parking garage accessible
192,3,apartment building hallway
1483,3,building basement bike
1341,3,bike wooden post
5034,3,storage room individual
5117,3,street vancouver reward
5118,3,street verde cocina
5119,3,streetportland oregon reward
5120,3,stretch 14th bike
3330,3,locked wheel frame
3331,3,locked yard reward
2566,3,gated apartment community
5124,3,student union building
5126,3,style bike rack
3334,3,locker bike stolen
5128,3,summer park reward
5129,3,sunday afternoon bike
858,3,bike outside building
857,3,bike outside bike
480,3,bicycle apartment bike
5131,3,sunday march 30th
478,3,bick rack reward
477,3,beverage sidewalk bike
788,3,bike locked apartment
876,3,bike parking meter
4165,3,private parking space
3318,3,locked rack car
903,3,bike pole apartment
5100,3,street reward hug
4164,3,private parking lot
5104,3,street sign apartment
5105,3,street sign bike
3321,3,locked roof rack
894,3,bike picture bike
471,3,belmont st reward
3325,3,locked storage locker
886,3,bike patio door
881,3,bike parking signpost
880,3,bike parking reward
3589,3,muni bus bike
852,3,bike office building
850,3,bike noon pm
3583,3,mt tabor apartment
5134,3,sunnyvale caltrain station
5154,3,sw 5th morrison
5155,3,sw 5th st
5156,3,sw 5th street
4082,3,porch apartment bike
5161,3,sw ave reward
805,3,bike locked residential
2557,3,gate backyard bike
2457,3,garage lock chain
3361,3,luarel ash apartment
490,3,bicycle lock cable
3562,3,mountain bike apartment
5169,3,sw estuary drive
794,3,bike locked car
3364,3,macadam ave wharf
5338,3,traffic post reward
2561,3,gate lock bike
5152,3,sw 5th avenue
4154,3,private apartment garage
485,3,bicycle garage bike
2443,3,garage home new
836,3,bike morning lock
3575,3,mountain bike white
5144,3,suspect recycling 35th
831,3,bike monday morning
2449,3,garage interstate ave
3350,3,lot foot traffic
819,3,bike main mode
826,3,bike metal bar
3573,3,mountain bike rack
5149,3,sw 10th morrison
822,3,bike man bike
821,3,bike male black
2562,3,gate open bike
3314,3,locked laundry room
4167,3,private residence reward
910,3,bike porch apartment
987,3,bike rack convention
1029,3,bike rack hotel
1028,3,bike rack hospital
26,3,14th bike parking
334,3,ash bike rack
3619,3,new season interstate
2580,3,gated storage area
1010,3,bike rack fremont
3264,3,locked apartment complex
3616,3,new construction hour
1002,3,bike rack elementary
5559,3,white seat bike
994,3,bike rack day
992,3,bike rack cup
119,3,access storage room
2413,3,garage condo complex
1034,3,bike rack intersection
5031,3,storage room building
5030,3,storage room bike
5022,3,storage locker bike
1067,3,bike rack night
5017,3,storage cage parking
1063,3,bike rack movie
1057,3,bike rack max
1056,3,bike rack market
3244,3,lock thief cable
1052,3,bike rack mall
1039,3,bike rack la
1051,3,bike rack main
27,3,14th bouchon restaurant
2586,3,giant escape titanium
431,3,bar tape white
2584,3,generous reward return
1040,3,bike rack laundry
2414,3,garage corner houghton
986,3,bike rack condo
3312,3,locked gated storage
2415,3,garage corner st
5077,3,street broadway reward
940,3,bike rack 19th
938,3,bike rack 14th
2572,3,gated community bike
5082,3,street farmer market
2428,3,garage door thief
4170,3,providence medical center
5088,3,street light reward
926,3,bike post school
5091,3,street oregon locked
918,3,bike porch night
917,3,bike porch morning
916,3,bike porch middle
5093,3,street plain view
3311,3,locked gate reward
3297,3,locked garage apartment
2424,3,garage door opened
458,3,beach rv park
2419,3,garage door driveway
2416,3,garage cross street
5058,3,store min bike
977,3,bike rack chain
5364,3,truck bike rack
5560,3,white seat white
5060,3,store minute later
964,3,bike rack bolt
5073,3,street bart station
3286,3,locked camper shell
3287,3,locked car bike
455,3,basket rear rack
3289,3,locked car window
956,3,bike rack beach
456,3,beach cruiser bike
5172,3,sw macadam ave
5337,3,traffic pole reward
2392,3,garage bike locker
527,3,bike bart station
643,3,bike frame lock
642,3,bike frame cable
5313,3,tire lock tire
5312,3,tire lock rest
5570,3,window inside bike
632,3,bike fence outside
631,3,bike fence house
5261,3,thief thieve able
628,3,bike electric bike
5264,3,thief wheel frame
625,3,bike driveway bike
2510,3,garage reward question
5266,3,thief white male
622,3,bike description bike
2530,3,garage thieve bike
5315,3,tire repair kit
5574,3,wire cutter bike
3559,3,motorcycle cable lock
654,3,bike garage backyard
4126,3,portland corss street
3425,3,market parking garage
677,3,bike garage time
518,3,bike area bike
5243,3,thief fenced yard
672,3,bike garage storage
519,3,bike area reward
2494,3,garage pm bike
3429,3,market st bike
2496,3,garage rear window
5320,3,titanium greenway blue
3433,3,market street bike
4098,3,porch mall st
3435,3,market street reward
5657,3,young white male
620,3,bike daylight hour
619,3,bike day bike
5268,3,thieve able garage
617,3,bike dark green
5291,3,time bike reward
5292,3,time garage door
574,3,bike cage work
543,3,bike black white
570,3,bike cage parking
5296,3,time small pizza
566,3,bike cage garage
3470,3,metal fence reward
564,3,bike cage door
2,3,00 pm sunday
560,3,bike cable padlock
557,3,bike cable frame
556,3,bike cable cut
554,3,bike busy street
553,3,bike bus stop
3,3,10 00 pm
3466,3,metal bike parking
3464,3,mercer st reward
600,3,bike code locked
3451,3,mckenzie hall south
614,3,bike cut lock
613,3,bike cut chain
5270,3,thieve apartment building
2513,3,garage reward sure
2528,3,garage thief opened
3490,3,middle night home
5287,3,thurman reward happy
3489,3,middle night bike
2525,3,garage thief backyard
5308,3,tire frame rack
5284,3,thomson seat post
539,3,bike black plastic
582,3,bike car lock
681,3,bike garage wheel
2490,3,garage opener car
3521,3,mississipi ave shaver
733,3,bike laundry room
3379,3,main mode transportation
3381,3,main st reward
4143,3,post school education
3383,3,maine corner cumberland
3384,3,maintenance person key
2468,3,garage middle day
4141,3,post reward intact
5332,3,trace bike lock
3545,3,morning bike rack
744,3,bike lock bicycle
503,3,bike 00 pm
4140,3,post outside house
504,3,bike 15 pm
5202,3,tape rear fender
5203,3,target bike rack
496,3,bicycle rack reward
2464,3,garage maine corner
3377,3,main frame cable
2553,3,gas station reward
5175,3,sw montgomery reward
3557,3,morrison bike rack
493,3,bicycle locked garage
778,3,bike lock right
3555,3,morning south waterfront
5181,3,sw park place
771,3,bike lock piece
764,3,bike lock kryptonite
3553,3,morning outside bike
5184,3,sw salmon reward
3375,3,main entrance bike
767,3,bike lock metal
3376,3,main entrance reward
5187,3,sw taylor st
3541,3,morgan building sw
2475,3,garage night bike
685,3,bike gated parking
3400,3,mall st reward
703,3,bike home garage
3524,3,mlk monroe st
3415,3,manor 20th st
699,3,bike helmet bike
4128,3,portland pearl deschute
5226,3,thief backyard garage
5227,3,thief bike foot
695,3,bike grey color
514,3,bike apartment patio
3417,3,maplewood train station
3418,3,march 30th wednesday
5232,3,thief black male
5233,3,thief building bike
2488,3,garage open time
5235,3,thief cable bike
704,3,bike hour bike
705,3,bike hour lock
4092,3,porch house inner
721,3,bike inside home
729,3,bike kuat nv
3536,3,monroe st reward
727,3,bike kryptonite evolution
726,3,bike kid bike
4136,3,post kryptonite lock
723,3,bike inside locked
720,3,bike inside gate
711,3,bike house lock
133,3,adjacent warehouse driveway
2546,3,garden golden gate
716,3,bike inside bike
5216,3,theft bike rack
3408,3,man door garage
2544,3,garage work building
3632,3,night bike rack
2718,3,high school day
5380,3,type box beverage
3690,3,nw glisan st
4936,3,st reward cash
1259,3,bike stolen yard
1262,3,bike storage building
4934,3,st portland reward
4833,3,sidewalk bike reward
1404,3,blue road bike
2349,3,friend garage reward
4931,3,st parking garage
361,3,ave hawthorne reward
158,3,alot reward recognition
1073,3,bike rack office
4929,3,st oregon reward
3146,3,lock bike white
1277,3,bike sunday afternoon
4831,3,sidewalk bike lock
4926,3,st lock bike
1280,3,bike suspect recycling
4227,3,rack bike tire
3143,3,lock bike video
1282,3,bike test ride
1283,3,bike thief bike
1284,3,bike thief camera
4211,3,rack apt complex
2344,3,friend backyard reward
3139,3,lock bike theft
1292,3,bike tire frame
1293,3,bike tire lock
358,3,ave garage interstate
1254,3,bike stolen office
2625,3,grey color normal
4954,3,stark burnside reward
1237,3,bike stand sidewalk
3169,3,lock cut ground
345,3,august bike rack
4202,3,rack 19th st
1223,3,bike sign post
4853,3,sign post outside
4948,3,stair locked door
4947,3,stair apartment reward
1229,3,bike single speed
2606,3,graham street oregon
368,3,ave pine st
3682,3,nw couch reward
1235,3,bike stand lock
4824,3,shopping center reward
2607,3,graham street reward
1253,3,bike stolen night
1241,3,bike stolen apartment
4230,3,rack bolt cutter
1242,3,bike stolen backyard
367,3,ave parking garage
1244,3,bike stolen closed
2354,3,friend yard reward
2313,3,frame lock bike
3157,3,lock cable reward
1248,3,bike stolen house
1250,3,bike stolen lock
4829,3,short dark hair
3156,3,lock cable rack
1409,3,blvd 25th ave
4915,3,st bart station
3135,3,lock bike shed
4212,3,rack apt reward
4864,3,single bike rack
4221,3,rack bike cage
2620,3,green line max
3722,3,ohsu center health
4877,3,skidmore pedestrian bridge
3108,3,lock bicycle bike
2331,3,francisco ferry building
1351,3,bike yard lock
5430,3,upshur private garage
2322,3,frame street sign
4872,3,single speed road
3089,3,lloyd center bike
4224,3,rack bike room
3101,3,location 15th dekum
3098,3,lobby work nw
3133,3,lock bike school
115,3,access garage reward
1366,3,black fender rear
3716,3,office morning south
3717,3,office parking garage
2325,3,frame tire seat
3719,3,officer correct number
1372,3,black hoodie time
4858,3,signpost adjacent warehouse
4856,3,sign reward negotiable
1378,3,black plastic fender
4851,3,sign post corner
5543,3,white blue accent
352,3,ave btw burnside
1342,3,bike worth alot
4225,3,rack bike stolen
1391,3,block hunt reward
4881,3,small pizza type
3075,3,lincoln hall cramer
3076,3,lincoln hall psu
1400,3,blue bike rack
3077,3,lincoln park apt
3078,3,lincoln park zoo
3079,3,line max train
4046,3,pm parking meter
3127,3,lock bike porch
5542,3,wheel underground parking
3125,3,lock bike pm
3699,3,nw savier streetportland
3123,3,lock bike parking
4043,3,pm lock bike
1316,3,bike verde cocina
4898,3,speed mountain bike
2319,3,frame serial number
1318,3,bike visible road
4897,3,speed cyclocross bike
4895,3,specialized mountain bike
4894,3,specialized hard rock
5626,3,yard house corner
3701,3,oak manor 20th
355,3,ave elm street
1328,3,bike wheel lock
4890,3,southern oregon university
4886,3,south waterfront river
4884,3,sort power tool
155,3,alley block simpson
3167,3,lock cut bicycle
370,3,ave reward beer
1115,3,bike rack state
1466,3,broadway downtown reward
4999,3,stolen office morning
1121,3,bike rack stretch
4789,3,security camera bike
2293,3,forced entry garage
170,3,apartment ash bike
1126,3,bike rack target
4187,3,public market parking
3213,3,lock master lock
1135,3,bike rack trimet
1460,3,broad daylight home
3651,3,normal giant escape
3044,3,left bike unattended
1138,3,bike rack ucla
3653,3,north park block
4991,3,stolen closed garage
3209,3,lock lock cable
1143,3,bike rack unitarian
1458,3,broad daylight bike
3749,3,open thief bike
3206,3,lock kryptonite lock
4988,3,stolen bike reward
1150,3,bike rack way
4796,3,sellwood middle school
153,3,alley apartment building
4798,3,serial number bike
4799,3,serial number picture
371,3,ave reward good
3202,3,lock intact rack
2590,3,glisan hoyt street
4787,3,secured underground parking
3659,3,note polouse police
3222,3,lock piece lock
3237,3,lock scene lock
3636,3,night early morning
1081,3,bike rack parked
1479,3,btw burnside davis
2390,3,garage bike item
1083,3,bike rack place
3637,3,night garage door
5010,3,storage area bike
4032,3,pm 40 pm
1090,3,bike rack psu
1091,3,bike rack public
3230,3,lock railing bike
418,3,balcony apartment reward
4781,3,secured garage wall
417,3,balcony apartment complex
416,3,balcony apartment building
30,3,14th glisan hoyt
3638,3,night home 25th
5389,3,unattached garage reward
2389,3,garage bike hanger
2388,3,garage bike giant
3641,3,night morning bike
3036,3,law school reward
5392,3,underground bike rack
1106,3,bike rack security
1471,3,broadway sw montgomery
4786,3,secured storage unit
4065,3,police report field
1469,3,broadway st reward
3201,3,lock intact bike
169,3,apartment area reward
1190,3,bike room morgan
3674,3,nw 14th thurman
4968,3,station lock bike
54,3,20th ave btw
4984,3,stock photo bike
3670,3,nw 13th hoyt
3671,3,nw 14th bouchon
33,3,14th thurman reward
381,3,avenue emerson sumner
3672,3,nw 14th glisan
3056,3,lewis clark law
3673,3,nw 14th street
1199,3,bike second bike
2633,3,grocery store minute
1202,3,bike secure area
1439,3,boulevard reed college
1203,3,bike secure bike
1430,3,bottle cage black
376,3,ave wharf building
4055,3,pole cable lock
4959,3,state park reward
5419,3,university medical center
2632,3,grocery store lock
1213,3,bike shed reward
2631,3,grocery store bike
35,3,150084736 police report
3736,3,open garage bike
5420,3,university park block
1438,3,bouchon restaurant nw
3090,3,lloyd center hollywood
3663,3,number 150084736 police
1176,3,bike right outside
3196,3,lock helmet lock
1164,3,bike rear deck
3197,3,lock helmet scene
2299,3,foster daughter black
1168,3,bike residential garage
4801,3,server bike male
3049,3,left wide open
1450,3,brewery reward love
5583,3,woodstock boulevard reed
1172,3,bike reward willing
4057,3,pole lock bike
3189,3,lock ground open
4196,3,quiet residential street
4190,3,purple mountain bike
32,3,14th street plain
4808,3,shimano clipless pedal
386,3,avenue thompson tillamook
1185,3,bike room building
1440,3,box beverage sidewalk
1186,3,bike room condo
4033,2,pm 45 pm
3977,2,pen zip ty
5588,2,work building bike
4101,2,porch night bike
5585,2,work bike outside
4034,2,pm bicycle rack
4095,2,porch lock bike
4036,2,pm bike driveway
4038,2,pm bike pm
4105,2,porch railing bike
3976,2,pedego bike rack
4103,2,porch private residence
3975,2,pedal kenton dumbass
4102,2,porch post reward
4024,2,place sw 5th
4097,2,porch main st
5582,2,wooden fence post
4025,2,place work bike
4029,2,plaza condominium 1st
3974,2,pedal aliante saddle
4100,2,porch minute new
4048,2,pm saturday night
3979,2,period time bike
4076,2,pool reward hug
4073,2,polouse report bike
4074,2,polouse surveillance video
4006,2,piece pen zip
4059,2,pole sidewalk reward
4058,2,pole morning lock
4075,2,pony soldier inn
4008,2,pier pool reward
3993,2,peugeot broad daylight
4009,2,pike downtown seattle
3989,2,person locked garage
3992,2,personal garage reward
4010,2,pine colleague yard
4077,2,poor college kid
4011,2,pine st reward
4012,2,pioneer place reward
4056,2,pole chain link
4013,2,pioneer place sw
4054,2,pole cable bike
4060,2,pole street reward
3994,2,photo bike rack
5578,2,woman car rack
4061,2,pole thieve adult
4066,2,police report file
4067,2,police report line
4068,2,police report night
3998,2,pickup tie yard
4001,2,picture bike model
4070,2,polk central hudson
4071,2,polouse bike ring
4002,2,picture exact bike
4003,2,picture teenager walking
4064,2,police report case
4004,2,piece bike lock
5579,2,woman road bike
5580,2,woman version model
3997,2,pic video theft
4062,2,police department bike
3996,2,pic romin saddle
3995,2,photo stock photo
3990,2,person stolen bike
4014,2,pioneer square rd
4023,2,place lock helmet
4088,2,porch floor apartment
4019,2,place aparment del
3980,2,perp cable lock
4020,2,place bike cable
4085,2,porch bike porch
4047,2,pm reward negotiable
4045,2,pm parked bike
4044,2,pm morning bike
5577,2,witness african american
5576,2,wire lock bar
4053,2,pole bike lock
4042,2,pm house day
5589,2,work cable lock
4091,2,porch house babysit
4041,2,pm cut lock
5575,2,wire cutter cable
4040,2,pm bike twin
4022,2,place cable lock
4094,2,porch kryptonite lock
5581,2,wooden beam outdoor
3981,2,perp purple mountain
3982,2,perp storage area
4084,2,porch apartment reward
4078,2,poor college student
4015,2,pipe concrete wall
4079,2,popular video showing
3988,2,person friend bike
4016,2,pipe garage open
3987,2,person bike yard
3986,2,person bike rack
4051,2,pod locking mechanism
3985,2,person bike person
3984,2,person bike bus
4050,2,pm september bike
4080,2,porch 35th madison
4081,2,porch 37th hawthorne
4049,2,pm security camera
4083,2,porch apartment building
4017,2,pitched bell right
5587,2,work bike wall
4031,2,pm 11 00
5300,2,tire bike frame
3973,2,pearl nw naito
3655,2,north street reward
3626,2,nicer shirt line
3627,2,night 25th reward
3628,2,night august early
3629,2,night bike corner
3630,2,night bike day
3631,2,night bike garage
3633,2,night bolt cutter
3634,2,night cable bike
5640,2,yard reward tbd
3639,2,night home bike
3640,2,night lock bike
3642,2,night morning lock
3643,2,night officer correct
3644,2,night outside apartment
3645,2,night sunday morning
3646,2,night thief gate
3647,2,noah bagel shop
3648,2,noise outside bike
3649,2,nokomis lake beach
3650,2,noma metro station
3652,2,norris st vancouver
3625,2,newseason market concordia
3624,2,newpark hotel bike
3623,2,new ultegra carbon
3611,2,neighborhood lincoln 54th
3604,2,neighbor burglar heavy
3605,2,neighbor door open
3606,2,neighbor garage open
3607,2,neighbor gate open
5650,2,yellow odyssey pedal
3608,2,neighbor house reward
5649,2,yellow handlebar tape
3609,2,neighbor surveillance footage
3610,2,neighborhood hillsboro baseline
5647,2,year old tan
3622,2,new tire bike
3612,2,neuberger hall reward
5645,2,year old hispanic
3613,2,new bike cable
3614,2,new bike peugeot
5643,2,year circumstance certain
5642,2,yard work stock
3617,2,new house hawthorne
3618,2,new season 20th
3621,2,new season reward
3654,2,north rock mountain
3656,2,northeast broadway 13th
5590,2,work cascade cycling
3657,2,northeast burnside road
3688,2,nw flander st
5630,2,yard lock bike
3689,2,nw glisan reward
3691,2,nw hoyt reward
3692,2,nw hoyt st
3693,2,nw hoyt street
3694,2,nw marshall reward
3695,2,nw marshall st
5628,2,yard house minute
3697,2,nw park ave
3698,2,nw raleigh st
5627,2,yard house gate
3700,2,nw street couch
3702,2,oak red black
3703,2,oak st virginia
3704,2,oakdale square apartment
3705,2,occupant address combination
3706,2,oct bike lock
3707,2,october sunday october
3708,2,odyssey pedal aliante
5624,2,yard fenced gate
3687,2,nw everett street
5631,2,yard lock gate
5632,2,yard locked gate
3669,2,nw 13th ave
3658,2,northrup st reward
3660,2,noticed video surveillance
3661,2,nov black schwinn
3662,2,novara circle locking
5638,2,yard reward buck
3664,2,number bike wheel
3665,2,numerous bike location
3666,2,nv rack cable
3668,2,nw 11th ave
3675,2,nw 15th ave
5633,2,yard middle night
5637,2,yard reward bike
3677,2,nw 25th ave
5636,2,yard quiet residential
3679,2,nw burnside reward
5635,2,yard property night
3680,2,nw corner 38th
3681,2,nw corner sw
3685,2,nw everett nw
5634,2,yard privacy fence
3603,2,neighbor bike lock
3601,2,near colonel summer
5651,2,yerba buena center
3600,2,neal bike trail
3514,2,minute street bike
3515,2,minute stuff large
3516,2,mirror left handlebar
3517,2,missing bike popular
3518,2,mission san francisco
3519,2,mission st reward
3520,2,mission valley ymca
3522,2,mlk ash st
3523,2,mlk fremont reward
3525,2,mlk oregon st
3526,2,mobile home live
3527,2,mobile home park
3528,2,mobile home river
3529,2,mode transportation way
3530,2,model metal rail
3531,2,mom block good
3532,2,monday afternoon bike
3533,2,monday night game
3534,2,money veggies appreciation
3535,2,monkey light wheel
3537,2,montana shaver reward
3513,2,minute new bike
3512,2,minute lock bike
3511,2,minute later cable
3498,2,milo cafe northeast
3484,2,meyer lombard ida
3485,2,michael palmer playground
3487,2,middle day bike
3488,2,middle day reward
3491,2,middle night reward
3492,2,middle night thief
3493,2,middle night yard
3494,2,middle school 28th
3497,2,midnight bike rack
3499,2,milwaukie holgate reward
3509,2,minute checked bike
3500,2,milwaukie open garage
3501,2,mini van plate
3502,2,mins later bike
3503,2,mint urban apartment
3504,2,minute apartment bike
3505,2,minute bike garage
5658,2,yr old bike
3507,2,minute cable bike
3508,2,minute cheap bicycle
3538,2,montana street south
3539,2,montgomery street reward
3542,2,moriarty art humanity
3590,2,muni bus line
3577,2,mounted bike rack
3578,2,movie pm bike
3579,2,movie theater reward
3580,2,mt al purple
3584,2,mt tabor neighborhood
3585,2,mt tabor reward
3586,2,mtn bike black
3587,2,multi family building
3588,2,multnomah county library
3591,2,muni bus reward
3574,2,mountain bike stolen
3592,2,museum bike rack
3593,2,museum natural history
3594,2,museum sw park
3595,2,mustache short blond
3596,2,naito parkway corner
5653,2,ymca bike rack
3597,2,national plaza reward
3598,2,natural history reward
3599,2,navy pier bike
3576,2,mountainsmith lumbar pack
5654,2,yoga class bike
3543,2,morning bicycle lock
3558,2,morrison sw 10th
3546,2,morning birthday present
3547,2,morning cable bike
3548,2,morning cable lock
3549,2,morning friday afternoon
3550,2,morning garage door
3551,2,morning gate open
5656,2,young black male
3554,2,morning picture bike
5655,2,yoga class car
3560,2,motorcycle sheraton wharf
3572,2,mountain bike private
3561,2,mount bike rack
3563,2,mountain bike blue
3564,2,mountain bike car
3565,2,mountain bike good
3566,2,mountain bike green
3568,2,mountain bike locked
3569,2,mountain bike man
3570,2,mountain bike pedal
3571,2,mountain bike picture
3712,2,office building garage
3714,2,office building sw
3715,2,office crocker gallerium
3846,2,park block columbia
3875,2,parking bike rack
3876,2,parking deck cable
3877,2,parking deck reward
3878,2,parking garage 1st
3879,2,parking garage 34th
3881,2,parking garage alder
3883,2,parking garage apt
5604,2,workplace reward bike
3887,2,parking garage camera
3888,2,parking garage car
3890,2,parking garage cut
