,Count,Nouns_Adjectives_TRIGRAM
150,6,alder morrison reward
219,6,apartment complex garage
301,6,apt parking garage
236,6,apartment courtyard reward
12,6,11th alder morrison
2014,5,cut bike stolen
4698,5,sandy blvd reward
1529,5,building security camera
1349,5,bike yard house
1072,5,bike rack nw
2049,5,day bike rack
2446,5,garage house bike
290,5,apt bike rack
3020,5,lamp post reward
3283,5,locked building reward
971,5,bike rack busy
452,5,basement storage area
1763,5,center health healing
2011,5,cut bike lock
2269,5,floor balcony reward
5162,5,sw avenue capitol
833,5,bike morning bike
4339,5,rack outside restaurant
2314,5,frame metal bike
4250,5,rack car house
1074,5,bike rack old
1612,5,cable lock outside
513,5,bike apartment garage
1774,5,center reward good
1080,5,bike rack park
3284,5,locked cable lock
255,5,apartment lobby reward
2755,5,home carport reward
509,5,bike apartment bike
1271,5,bike storage unit
3635,5,night cable lock
4755,5,second wind sw
5009,5,storage area basement
1059,5,bike rack metro
3738,5,open garage door
1526,5,building reward negotiable
4754,5,second story porch
2564,5,gate outside apartment
5567,5,wind sw avenue
5221,5,theft security camera
2023,5,cut lock bike
3058,5,library bike rack
1922,5,condo storage unit
5508,5,wheel bike lock
1960,5,corner sw broadway
4469,5,rear rack black
5180,5,sw park ave
3088,5,living room reward
351,5,ave bike rack
3927,5,parking lot nw
4575,5,reward generous reward
438,5,basement apartment complex
5040,5,storage room secure
2555,5,gate apartment complex
3271,5,locked basement apartment
2409,5,garage cable bike
5044,5,storage unit basement
3711,5,office building bike
4174,5,psu campus rec
1008,5,bike rack food
1558,5,bus rack reward
5045,5,storage unit bike
4479,5,rear wheel bike
2697,5,heavy cable lock
4175,5,psu campus reward
1377,5,black planet bike
1376,5,black mountain bike
5164,5,sw broadway sw
5644,5,year old boy
1290,5,bike tire bike
188,5,apartment building door
435,5,bart station reward
2412,5,garage condo building
1786,5,chain bolt cutter
954,5,bike rack bart
3540,5,montlake bicycle shop
3769,5,outside apartment complex
3394,5,mall bike rack
2886,5,house reward negotiable
1792,5,chain lock bike
4447,5,rack work place
979,5,bike rack city
4564,5,reward condition bike
982,5,bike rack closest
2327,5,frame wheel cable
4587,5,reward hug kiss
2469,5,garage middle night
5648,5,yellow bar tape
1038,5,bike rack kryptonite
4086,5,porch bike rack
4923,5,st interstate ave
1036,5,bike rack jeep
497,5,bicycle shop reward
1032,5,bike rack inside
2401,5,garage bike wall
4069,5,police report number
4096,5,porch locked reward
2324,5,frame tire lock
1658,5,cage bike cable
2097,5,door lock bike
1887,5,community college reward
4021,5,place bike rack
5274,5,thieve entered garage
3684,5,nw davis st
1657,5,cage apartment complex
3496,5,middle school reward
1154,5,bike rack white
612,5,bike cut cable
3450,5,max station reward
5103,5,street san francisco
212,5,apartment cable lock
1591,5,cable lock bolt
1146,5,bike rack van
4382,5,rack reward question
3030,5,laundry room apartment
340,5,attached bike rack
5625,5,yard home reward
5262,5,thief used bolt
1698,5,capitol hwy multnomah
882,5,bike parking spot
4765,5,secure garage bike
2928,5,inside parking garage
3310,5,locked gate bike
5306,5,tire frame bike
1709,5,car driveway reward
3896,5,parking garage locked
1880,5,common area apartment
3193,5,lock heavy duty
2114,5,door open thief
1167,5,bike rear wheel
594,5,bike chain lock
2118,5,dorm bike rack
1189,5,bike room locked
2526,5,garage thief bike
4241,5,rack cable cut
5652,5,yerba buena garden
4106,5,porch railing reward
599,5,bike closed garage
1720,5,car parking lot
4899,5,speed road bike
3802,5,outside la fitness
2261,5,floor apartment building
5303,5,tire cable lock
3220,5,lock parking garage
4342,5,rack outside work
4675,5,roosevelt high school
5418,5,university campus reward
2385,5,garage bike cage
1486,5,building bike cage
4309,5,rack locked garage
3479,5,metro bike rack
3293,5,locked door locked
1343,5,bike yard bike
2660,5,hall psu campus
663,5,bike garage house
2900,5,hwy multnomah village
3153,5,lock cable cut
1484,5,building basement reward
3676,5,nw 20th ave
2747,5,home basement reward
2495,5,garage rack reward
2303,5,frame bike lock
2576,5,gated garage reward
3482,5,meyer bike rack
3323,5,locked storage area
379,5,avenue capitol hwy
644,5,bike frame rear
3301,5,locked garage door
2532,5,garage thieve garage
1249,5,bike stolen inside
2440,5,garage home bike
1131,5,bike rack tire
2503,5,garage reward condition
4546,5,reward arrest conviction
5569,5,window bike stolen
309,5,area bike lock
3154,5,lock cable ground
649,5,bike friend house
1118,5,bike rack store
3298,5,locked garage ave
1321,4,bike wall mount
915,4,bike porch house
465,4,bed pickup truck
3120,4,lock bike helmet
5485,4,water bottle rack
1815,4,circular bike rack
1000,4,bike rack driveway
1861,4,college campus reward
999,4,bike rack downtown
995,4,bike rack door
356,4,ave fessenden st
4715,4,school bike lock
914,4,bike porch gated
953,4,bike rack bar
2680,4,hardwood bicycle ave
4548,4,reward beer gratitude
2852,4,house bike rack
1604,4,cable lock home
2574,4,gated garage bike
454,4,basement storage unit
966,4,bike rack broadway
5063,4,story balcony reward
3132,4,lock bike scene
2570,4,gated backyard interstate
3602,4,near garden home
3288,4,locked car rack
3696,4,nw naito parkway
1609,4,cable lock minute
2421,4,garage door lock
254,4,apartment laundry room
3303,4,locked garage lock
3874,4,parking area reward
2417,4,garage door alley
4916,4,st bike rack
1827,4,clackamas town center
932,4,bike public bike
981,4,bike rack cleveland
5086,4,street light pole
3136,4,lock bike stand
3307,4,locked garage thief
3277,4,locked bike outside
5629,4,yard house reward
79,4,37th hawthorne reward
925,4,bike post reward
924,4,bike post outside
2848,4,house ave reward
3138,4,lock bike storage
1535,4,building sw 5th
2265,4,floor apartment reward
1813,4,church st reward
1133,4,bike rack train
2239,4,fender rear rack
3160,4,lock cage bike
1730,4,car reward negotiable
2376,4,garage apartment reward
398,4,backyard interstate church
2377,4,garage apt building
4629,4,road bike garage
4627,4,road bike black
1650,4,cable wheel bike
1740,4,carbon fiber fork
1130,4,bike rack time
2924,4,inside locked garage
4995,4,stolen locked bike
2381,4,garage ave fessenden
5394,4,underground garage bike
1256,4,bike stolen porch
1257,4,bike stolen rack
186,4,apartment building corner
1114,4,bike rack stair
1111,4,bike rack small
1110,4,bike rack similar
410,4,backyard reward tbd
2923,4,inside locked car
2371,4,garage alley block
2223,4,fence house reward
4946,4,stair apartment building
4667,4,room locked door
1206,4,bike secured garage
3812,4,outside powell bookstore
2941,4,interstate church st
5416,4,university campus bike
3180,4,lock frame tire
4052,4,pole apartment building
280,4,apartment storage unit
2940,4,interstate ave reward
2600,4,good sam hospital
369,4,ave reward arrest
3832,4,pacific college art
1181,4,bike roof rack
3667,4,nw 10th ave
1178,4,bike road bike
4195,4,quick release wheel
2244,4,fessenden st reward
1173,4,bike ride bike
3683,4,nw couch st
4007,4,pier bike rack
4191,4,purple streak giant
1236,4,bike stand reward
4290,4,rack heavy cable
4607,4,reward undying gratitude
1009,4,bike rack frame
4298,4,rack library reward
1049,4,bike rack locker
5378,4,tupelo alley apartment
4293,4,rack inside garage
3999,4,pickup truck reward
2398,4,garage bike storage
432,4,bart bike rack
4296,4,rack kryptonite lock
2653,4,hall bike rack
1288,4,bike time bike
2400,4,garage bike tool
4578,4,reward good condition
4292,4,rack house reward
3140,4,lock bike time
5641,4,yard union station
1023,4,bike rack heavy
3620,4,new season market
3259,4,lock wheel post
1016,4,bike rack gated
189,4,apartment building fence
4072,4,polouse police report
440,4,basement bike rack
4302,4,rack lock cut
3246,4,lock tire bike
3243,4,lock street sign
1641,4,cable rest bike
3232,4,lock rest bike
1640,4,cable rear wheel
1263,4,bike storage cage
5008,4,storage area apartment
1095,4,bike rack restaurant
2350,4,friend home reward
3150,4,lock broad daylight
4604,4,reward store credit
1089,4,bike rack private
1087,4,bike rack portland
5639,4,yard reward negotiable
274,4,apartment stairwell reward
3886,4,parking garage cable
1079,4,bike rack pacific
1076,4,bike rack oregon
1274,4,bike street bike
4597,4,reward poor college
5612,4,yakima rack car
1066,4,bike rack new
2393,4,garage bike parking
4210,4,rack apt building
1062,4,bike rack morning
1061,4,bike rack mission
4536,4,restaurant bike rack
3115,4,lock bike car
2159,4,early morning hour
4820,4,shop reward store
2027,4,cutter bike rack
2761,4,home garage door
1418,4,bolt cutter chain
4035,4,pm bike cable
4424,4,rack train station
2759,4,home depot reward
1522,4,building parking garage
693,4,bike green bike
1421,4,bolt cutter reward
2705,4,heavy duty lock
2307,4,frame cable wheel
4816,4,shop bike shop
4430,4,rack underground parking
4761,4,secure bike room
2048,4,day bike lock
2749,4,home bike lock
4813,4,shirt black pant
2055,4,deck bike lock
670,4,bike garage reward
5246,4,thief garage door
1515,4,building locked bike
4405,4,rack sidewalk reward
523,4,bike backyard night
3432,4,market st reward
2485,4,garage open night
2481,4,garage open hour
4809,4,shimano spd pedal
2778,4,home residence reward
1387,4,black water bottle
1975,4,couple hour bike
1978,4,courtyard apartment building
3724,4,old son bike
3082,4,link fence reward
4455,4,railing bike lock
1989,4,credit card fraud
3386,4,male black hoodie
3014,4,la fitness reward
4452,4,rail station reward
747,4,bike lock bolt
94,4,7th st reward
2017,4,cut cable lock
175,4,apartment bike lock
2161,4,east entrance bike
4445,4,rack work bike
2160,4,east bike rack
4089,4,porch gate bike
4750,4,second floor apartment
347,4,auto bike rack
4437,4,rack water bottle
3941,4,parking sign pole
5213,4,test ride reward
551,4,bike broad daylight
659,4,bike garage corner
4764,4,secure garage apartment
2789,4,home reward tbd
3483,4,meyer interstate lombard
595,4,bike city bike
591,4,bike carrier reward
3486,4,mid day bike
208,4,apartment building sw
2638,4,ground floor building
587,4,bike car thief
5307,4,tire frame cable
584,4,bike car port
5286,4,thule roof rack
2292,4,forced entry bike
5524,4,wheel frame wheel
4363,4,rack reward bike
601,4,bike common area
569,4,bike cage locked
5295,4,time police report
4785,4,secured storage area
4352,4,rack portland state
4244,4,rack cable wheel
4245,4,rack campus reward
3480,4,metro station bike
546,4,bike blue white
1485,4,building bike cable
4779,4,secured garage bike
552,4,bike building garage
210,4,apartment building thief
3458,4,medical center reward
